name,updatedAt
Team Insight,2024-11-23T00:01:03.570505
Mavericks,2024-11-23T00:01:03.570505
Brainstorm,2024-11-23T00:01:03.570505
The Intellectuals,2024-11-23T00:01:03.570505
Panthers,2024-11-23T00:01:03.570505
Team PV,2024-11-23T00:01:03.570505
Mavericks,2024-11-23T00:01:03.570505
Beast boy Shubh,2024-11-23T00:01:03.570505
horizon,2024-11-23T00:01:03.570505
Team -64,2024-11-23T00:01:03.570505
Team 19,2024-11-23T00:01:03.570505
Excel team,2024-11-23T00:01:03.570505
Mind Mates,2024-11-23T00:01:03.570505
Dynamic Duo,2024-11-23T00:01:03.570505
Bangaliyana-TB,2024-11-23T00:01:03.570505
SG,2024-11-23T00:01:03.570505
Power rangers,2024-11-23T00:01:03.570505
Question crafters,2024-11-23T00:01:03.570505
Sunshine,2024-11-23T00:01:03.570505
Aviatior,2024-11-23T00:01:03.570505
Team AZ,2024-11-23T00:01:03.570505
Unity crew,2024-11-23T00:01:03.570505
Team Ferrari,2024-11-23T00:01:03.570505
Team sopranos,2024-11-23T00:01:03.570505
Team diamond,2024-11-23T00:01:03.570505
Team-A,2024-11-23T00:01:03.570505
Brainy brawlers,2024-11-23T00:01:03.570505
Trio,2024-11-23T00:01:03.570505
The Quizlings,2024-11-23T00:01:03.570505
Team Mind Benders,2024-11-23T00:01:03.570505
Chanakya,2024-11-23T00:01:03.570505
Atomic,2024-11-23T00:01:03.570505
The A team,2024-11-23T00:01:03.570505
Kautilya,2024-11-23T00:01:03.570505
Gossip girls,2024-11-23T00:01:03.570505
Scholar's,2024-11-23T00:01:03.570505
SHARKS,2024-11-23T00:01:03.570505
Ace Avengers,2024-11-23T00:01:03.570505
